PC Time,Alt,Press,Temp
10-21-2020  08:29:27,      86.9,100617.9,   25.4
10-21-2020  08:29:28,      87.4,100611.8,   25.4
10-21-2020  08:29:29,      87.6,100609.3,   25.4
10-21-2020  08:29:30,      86.8,100619.1,   25.4
10-21-2020  08:29:31,      86.9,100617.8,   25.4
10-21-2020  08:29:32,      87.2,100613.9,   25.4
10-21-2020  08:29:33,      87.0,100615.9,   25.4
10-21-2020  08:29:34,      86.5,100621.9,   25.4
10-21-2020  08:29:35,      87.0,100615.9,   25.4
10-21-2020  08:29:36,      86.8,100619.2,   25.4
10-21-2020  08:29:37,      86.9,100617.1,   25.4
10-21-2020  08:29:38,      87.1,100614.5,   25.5
10-21-2020  08:29:39,      86.8,100618.4,   25.5
10-21-2020  08:29:40,      87.0,100616.7,   25.5
10-21-2020  08:29:41,      87.2,100614.3,   25.5
10-21-2020  08:29:42,      87.0,100616.2,   25.5
10-21-2020  08:29:43,      87.2,100613.3,   25.5
10-21-2020  08:29:44,      87.6,100609.6,   25.5
10-21-2020  08:29:45,      87.1,100614.8,   25.5
10-21-2020  08:29:46,      87.6,100608.9,   25.5
10-21-2020  08:29:47,      86.9,100617.2,   25.5
10-21-2020  08:29:48,      87.1,100615.3,   25.5
10-21-2020  08:29:49,      87.5,100610.0,   25.5
10-21-2020  08:29:50,     507.5,95690.9,   25.5
10-21-2020  08:29:51,    1122.4,88841.3,   25.6
10-21-2020  08:29:52,    1671.7,83063.3,   25.6
10-21-2020  08:29:53,    2140.8,78374.0,   25.6
10-21-2020  08:29:54,    2038.3,79380.3,   25.6
10-21-2020  08:29:55,    1968.4,80071.9,   25.6
10-21-2020  08:29:56,    1922.1,80533.2,   25.6
10-21-2020  08:29:57,    1890.5,80848.9,   25.6
10-21-2020  08:29:58,    1868.9,81065.5,   25.6
10-21-2020  08:29:59,    1853.9,81215.7,   25.6
10-21-2020  08:30:00,    1842.7,81328.4,   25.6
10-21-2020  08:30:01,    1834.3,81413.3,   25.6
10-21-2020  08:30:02,    1826.9,81487.1,   25.6
10-21-2020  08:30:03,    1821.2,81545.2,   25.6
10-21-2020  08:30:04,    1817.2,81585.0,   25.6
10-21-2020  08:30:05,    1813.2,81625.7,   25.6
10-21-2020  08:30:06,    1809.0,81668.3,   25.6
10-21-2020  08:30:07,    1806.5,81693.5,   25.6
10-21-2020  08:30:08,    1803.4,81724.3,   25.6
10-21-2020  08:30:09,    1800.6,81753.4,   25.6
10-21-2020  08:30:10,    1798.6,81772.8,   25.6
10-21-2020  08:30:11,    1796.4,81795.7,   25.7
10-21-2020  08:30:12,    1794.3,81816.5,   25.6
10-21-2020  08:30:13,    1792.2,81838.0,   25.7
10-21-2020  08:30:14,    1790.0,81860.6,   25.7
10-21-2020  08:30:15,    1787.7,81883.4,   25.7
10-21-2020  08:30:16,    1786.3,81897.1,   25.7
10-21-2020  08:30:17,    2068.3,79084.5,   25.7
10-21-2020  08:30:18,    2607.9,73919.1,   25.7
10-21-2020  08:30:19,    3082.1,69609.5,   25.8
10-21-2020  08:30:20,    3497.5,66003.1,   25.8
10-21-2020  08:30:21,    3864.1,62947.6,   25.8
10-21-2020  08:30:22,    4200.1,60248.6,   25.8
10-21-2020  08:30:23,    4175.4,60443.4,   25.8
10-21-2020  08:30:24,    4111.0,60954.8,   25.8
10-21-2020  08:30:25,    4071.2,61272.8,   25.8
10-21-2020  08:30:26,    4045.5,61478.9,   25.8
10-21-2020  08:30:27,    4027.7,61621.0,   25.8
10-21-2020  08:30:28,    4015.6,61718.9,   25.8
10-21-2020  08:30:29,    4007.1,61786.9,   25.8
10-21-2020  08:30:30,    4000.5,61840.2,   25.8
10-21-2020  08:30:31,    3995.1,61883.5,   25.8
10-21-2020  08:30:32,    3990.7,61919.0,   25.8
10-21-2020  08:30:33,    3987.0,61949.5,   25.8
10-21-2020  08:30:34,    3983.4,61977.9,   25.8
10-21-2020  08:30:35,    3981.2,61996.0,   25.8
10-21-2020  08:30:36,    3978.2,62019.9,   25.8
10-21-2020  08:30:37,    3975.9,62039.0,   25.8
10-21-2020  08:30:38,    3973.6,62057.4,   25.8
10-21-2020  08:30:39,    3972.3,62068.1,   25.8
10-21-2020  08:30:40,    3970.0,62086.6,   25.8
10-21-2020  08:30:41,    3968.3,62100.0,   25.8
10-21-2020  08:30:42,    3966.6,62113.8,   25.8
10-21-2020  08:30:43,    3964.8,62128.4,   25.8
10-21-2020  08:30:44,    3962.9,62144.2,   25.8
10-21-2020  08:30:45,    3970.7,62080.7,   25.9
10-21-2020  08:30:46,    4398.0,58703.6,   25.9
10-21-2020  08:30:47,    4760.9,55953.0,   25.9
10-21-2020  08:30:48,    5075.5,53654.4,   25.9
10-21-2020  08:30:49,    5344.3,51751.2,   25.9
10-21-2020  08:30:50,    5581.5,50117.8,   25.9
10-21-2020  08:30:51,    5790.9,48710.6,   26.0
10-21-2020  08:30:52,    5979.1,47473.0,   26.0
10-21-2020  08:30:53,    6148.1,46383.5,   26.0
10-21-2020  08:30:54,    6299.4,45425.8,   26.0
10-21-2020  08:30:55,    6432.8,44594.6,   26.0
10-21-2020  08:30:56,    6551.7,43864.0,   26.0
10-21-2020  08:30:57,    6655.7,43233.2,   26.0
10-21-2020  08:30:58,    6747.8,42680.4,   26.0
10-21-2020  08:30:59,    6826.4,42213.5,   26.0
10-21-2020  08:31:00,    6894.6,41811.8,   26.0
10-21-2020  08:31:01,    6907.5,41736.0,   26.0
10-21-2020  08:31:02,    6859.5,41879.7,   26.0
